Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
15081,251230,Gas Lane,180003,Primary,51.4845,-2.7663,PORTISHEAD 33kV,GAS LANE 11kV
245420,253131,Gas Yard,540128,Primary,51.6034,-3.3391,,GAS YARD 11kV
314871,314584,Gaydon 33/11kv,930057,Primary,52.2015,-1.4853,Harbury,Gaydon
314986,314610,Gedling 33 11kv S Stn,880034,Primary,52.9849,-1.0908,Nottingham East,Gedling
15246,10,Geevor,417040,Primary,50.1513,-5.6775,HAYLE 33kV,GEEVOR 11kV
15159,17,Georgeham,260570,Primary,51.1505,-4.1791,EAST YELLAND 33kV,GEORGEHAM 11kV
245366,245520,Gethin Street Swansea,520129,Primary,51.6173,-3.9494,,GETHIN STREET 11kV
314894,314576,Gipsy Lane 33/11kv,930080,Primary,52.5011,-1.4435,Nuneaton,Gipsy Lane
245391,245518,Glasbury,610133,Primary,52.0343,-3.1983,,GLASBURY 11kV
315122,314639,Gnosall 33/11kv,850009,Primary,52.7821,-2.2577,Meaford 'C' 132 33,Gnosall 33 11
314671,314556,Goitside 33kv S Stn,890016,BSP,53.2334,-1.444,Goitside,
315146,314671,Goitside 6 6kv S Stn,890075,Primary,53.2332,-1.4453,Goitside,Goitside 6.6
245313,245306,Golden Hill Primary,600014,BSP,51.684,-4.908,,GOLDEN HILL 33kV
253012,245313,Golden Hill Primary,600014,Primary,51.684,-4.908,,GOLDEN HILL 11kV
315209,314726,Goldenhill Bank 33/11kv,850012,Primary,53.0828,-2.2268,Whitfield 132 33,Goldenhill Bank 33 11
245360,245516,Gowerton East Grid,520045,BSP,51.6462,-4.0132,,
245377,,Grange Bsp,560015,GSP,51.56,-3.7543,,
252988,245377,Grange Bsp,560015,BSP,51.56,-3.7543,,GRANGE 66kV
245469,245414,Grangetown Grid Primary,510908,BSP,51.4634,-3.1938,,
252489,245469,Grangetown Grid Primary,510908,Primary,51.4634,-3.1938,,GRANGETOWN 11kV
